,,,,,,,,,,City of London
, Choose Ward,Barking and Dagenham - Abbey,,,,,,,,Barking and Dagenham - Abbey
,,,,,,,,,,Barking and Dagenham - Alibon
,,,,,,,,,,Barking and Dagenham - Becontree
Theme,Measure,Barking and Dagenham - Abbey,,Barking and Dagenham,London,England,,Source:,,Barking and Dagenham - Chadwell Heath
,% dwellings in council tax bands A or B - 2015,,45.2,24.6,17.2,44.3,,Department for Communities and Local Government,42,Bexley - Brampton
,"% dwellings in council tax bands C, D or E - 2015",,54.8,74.9,67.6,46.6,,Department for Communities and Local Government,43,Bexley - Christchurch
,"% dwellings in council tax bands F, G or H - 2015",,0,0.5,15.2,9.1,,Department for Communities and Local Government,44,Bexley - Colyers
BENEFITS CLAIMANTS,Claimant rate of key out-of-work benefits (working age client group) (2014),,15.1,16.7,11.6,12.5,,Department for Work and Pensions,45,Bexley - Crayford
,Claimant Rate of Housing Benefit (2015),,16.1,16.1,12.2,9.6,,Department for Work and Pensions,46,Bexley - Cray Meadows
,Claimant Rate of Employment Support Allowance - 2014,,4.2,5.8,2.2,5.2,,Department for Work and Pensions,47,Bexley - Danson Park
,Rate of JobSeekers Allowance (JSA) Claimants - 2015,,4,3.6,2.6,2.3,,Department for Work and Pensions/GLA Intelligence Unit calculations,48,Bexley - East Wickham
DEPRIVATION,% dependent children (0-18) in out-of-work households - 2014,,22.1,21.7,16.3,15.4,,HM Revenue and Customs,49,Bexley - Erith
,% of households with no adults in employment with dependent children - 2011,,8.7,10.4,5.7,4.2,,Census 2011,50,Bexley - Falconwood and Welling
,% of lone parents not in employment - 2011,,55.3,54.2,47.8,40.6,,Census 2011,51,Bexley - Lesnes Abbey
,(ID2010) - Rank of average score (within London) - 2010,,166,154,,,,Indices of Deprivation - DCLG,52,Bexley - Longlands
,(ID2010) % of LSOAs in worst 50% nationally - 2010,,86,97,67,,,Indices of Deprivation - DCLG,53,Bexley - North End
EDUCATION,Average GCSE capped point scores - 2014,,318,307,324,310,,Department for Education (via NeSS),54,Bexley - Northumberland Heath
,Unauthorised Absence in All Schools (%) - 2013,,1.4,1.3,1.1,1.1,,Department for Education (via NeSS),55,Bexley - St. Mary's
,% with no qualifications - 2011,,16.4,27.9,17.6,22.7,,Census 2011,56,Bexley - St. Michael's
,% with Level 4 qualifications and above - 2011,,34.5,20.9,37.7,27.2,,Census 2011,57,Bexley - Sidcup
,A-Level Average Point Score Per Student - 2013/14,,682.6,658.9,689.9,696.3,,Neighbourhood statistics,58,Bexley - Thamesmead East
,A-Level Average Point Score Per Entry; 2013/14,,208.9,209.2,211.4,211.5,,Neighbourhood statistics,59,Brent - Alperton
COMMUNITY SAFETY,Crime rate - 2014/15,,138.1,82.9,83.3,66.9,,Metropolitan Police Service,60,Brent - Barnhill
,Violence against the person rate - 2014/15,,42.2,26.6,23.4,13.4,,Metropolitan Police Service,61,Brent - Brondesbury Park
,"Deliberate Fires per 1,000 population - 2014",,1.4,0.9,0.5,,,London Fire and Emergency Planning Authority,62,Brent - Dollis Hill
ENVIRONMENT,% area that is open space - 2014,,21.9,33.7,39.1,,,Greenspace Information for Greater London,63,Brent - Dudden Hill
TRANSPORT,Cars per household - 2011,,0.5,0.8,0.8,1.1,,Census 2011,64,Brent - Fryent
,Average Public Transport Accessibility score - 2014,,6,3,3.8,,,Transport for London,65,Brent - Harlesden
,% travel by bicycle to work - 2011,,0.8,1.4,4,2.9,,Census 2011,66,Brent - Kensal Green
GOVERNANCE,Turnout at Mayoral election - 2012,,25.7,27.7,34.2,,,London Elects,67,Brent - Kenton
,,,,,,,,,68,Brent - Kilburn
,,,,,,,,,69,Brent - Mapesbury
,,,,,,,,,70,Brent - Northwick Park
,,,,,,,,,71,Brent - Preston
,,,,,,,,,,Brent - Queens Park
,,,,,,,,,,Brent - Queensbury
,,,,,,,,,,Brent - Stonebridge
,,,,,,,,,,Brent - Sudbury
,,,,,,,,,,Brent - Tokyngton
,,,,,,,,,,Brent - Welsh Harp
,,,,,,,,,,Brent - Wembley Central
,,,,,,,,,,Brent - Willesden Green
,,,,,,,,,,Bromley - Bickley
,,,,,,,,,,Bromley - Biggin Hill
,,,,,,,,,,Bromley - Bromley Common and Keston
,,,,,,,,,,Bromley - Bromley Town
,,,,,,,,,,Bromley - Chelsfield and Pratts Bottom
,,,,,,,,,,Bromley - Chislehurst
,,,,,,,,,,Bromley - Clock House
,,,,,,,,,,Bromley - Copers Cope
,,,,,,,,,,Bromley - Cray Valley East
,,,,,,,,,,Bromley - Cray Valley West
,,,,,,,,,,Bromley - Crystal Palace
,,,,,,,,,,Bromley - Darwin
,,,,,,,,,,Bromley - Farnborough and Crofton
,,,,,,,,,,Bromley - Hayes and Coney Hall
,,,,,,,,,,Bromley - Kelsey and Eden Park
,,,,,,,,,,Bromley - Mottingham and Chislehurst North
,,,,,,,,,,Bromley - Orpington
,,,,,,,,,,Bromley - Penge and Cator
,,,,,,,,,,Bromley - Petts Wood and Knoll
,,,,,,,,,,Bromley - Plaistow and Sundridge
,,,,,,,,,,Bromley - Shortlands
,,,,,,,,,,Bromley - West Wickham
,,,,,,,,,,Camden - Belsize
,,,,,,,,,,Camden - Bloomsbury
,,,,,,,,,,Camden - Camden Town with Primrose Hill
,,,,,,,,,,Camden - Cantelowes
,,,,,,,,,,Camden - Fortune Green
,,,,,,,,,,Camden - Frognal and Fitzjohns
,,,,,,,,,,Camden - Gospel Oak
,,,,,,,,,,Camden - Hampstead Town
,,,,,,,,,,Camden - Haverstock
,,,,,,,,,,Camden - Highgate
,,,,,,,,,,Camden - Holborn and Covent Garden
,,,,,,,,,,Camden - Kentish Town
,,,,,,,,,,Camden - Kilburn
,,,,,,,,,,Camden - King's Cross
,,,,,,,,,,Camden - Regent's Park
,,,,,,,,,,Camden - St. Pancras and Somers Town
,,,,,,,,,,Camden - Swiss Cottage
,,,,,,,,,,Camden - West Hampstead
,,,,,,,,,,Croydon - Addiscombe
,,,,,,,,,,Croydon - Ashburton
,,,,,,,,,,Croydon - Bensham Manor
,,,,,,,,,,Croydon - Broad Green
,,,,,,,,,,Croydon - Coulsdon East
,,,,,,,,,,Croydon - Coulsdon West
,,,,,,,,,,Croydon - Croham
,,,,,,,,,,Croydon - Fairfield
,,,,,,,,,,Croydon - Fieldway
,,,,,,,,,,Croydon - Heathfield
,,,,,,,,,,Croydon - Kenley
,,,,,,,,,,Croydon - New Addington
,,,,,,,,,,Croydon - Norbury
,,,,,,,,,,Croydon - Purley
,,,,,,,,,,Croydon - Sanderstead
,,,,,,,,,,Croydon - Selhurst
,,,,,,,,,,Croydon - Selsdon and Ballards
,,,,,,,,,,Croydon - Shirley
,,,,,,,,,,Croydon - South Norwood
,,,,,,,,,,Croydon - Thornton Heath
,,,,,,,,,,Croydon - Upper Norwood
,,,,,,,,,,Croydon - Waddon
,,,,,,,,,,Croydon - West Thornton
,,,,,,,,,,Croydon - Woodside
,,,,,,,,,,Ealing - Acton Central
,,,,,,,,,,Ealing - Cleveland
,,,,,,,,,,Ealing - Dormers Wells
,,,,,,,,,,Ealing - Ealing Broadway
,,,,,,,,,,Ealing - Ealing Common
,,,,,,,,,,Ealing - East Acton
,,,,,,,,,,Ealing - Elthorne
,,,,,,,,,,Ealing - Greenford Broadway
,,,,,,,,,,Ealing - Greenford Green
,,,,,,,,,,Ealing - Hanger Hill
,,,,,,,,,,Ealing - Hobbayne
,,,,,,,,,,Ealing - Lady Margaret
,,,,,,,,,,Ealing - Northfield
,,,,,,,,,,Ealing - North Greenford
,,,,,,,,,,Ealing - Northolt Mandeville
,,,,,,,,,,Ealing - Northolt West End
,,,,,,,,,,Ealing - Norwood Green
,,,,,,,,,,Ealing - Perivale
,,,,,,,,,,Ealing - South Acton
,,,,,,,,,,Ealing - Southall Broadway
,,,,,,,,,,Ealing - Southall Green
,,,,,,,,,,Ealing - Southfield
,,,,,,,,,,Ealing - Walpole
,,,,,,,,,,Enfield - Bowes
,,,,,,,,,,Enfield - Bush Hill Park
,,,,,,,,,,Enfield - Chase
,,,,,,,,,,Enfield - Cockfosters
,,,,,,,,,,Enfield - Edmonton Green
,,,,,,,,,,Enfield - Enfield Highway
,,,,,,,,,,Enfield - Enfield Lock
,,,,,,,,,,Enfield - Grange
,,,,,,,,,,Enfield - Haselbury
,,,,,,,,,,Enfield - Highlands
,,,,,,,,,,Enfield - Jubilee
,,,,,,,,,,Enfield - Lower Edmonton
,,,,,,,,,,Enfield - Palmers Green
,,,,,,,,,,Enfield - Ponders End
,,,,,,,,,,Enfield - Southbury
,,,,,,,,,,Enfield - Southgate
,,,,,,,,,,Enfield - Southgate Green
,,,,,,,,,,Enfield - Town
,,,,,,,,,,Enfield - Turkey Street
,,,,,,,,,,Enfield - Upper Edmonton
,,,,,,,,,,Enfield - Winchmore Hill
,,,,,,,,,,Greenwich - Abbey Wood
,,,,,,,,,,Greenwich - Blackheath Westcombe
,,,,,,,,,,Greenwich - Charlton
,,,,,,,,,,Greenwich - Coldharbour and New Eltham
,,,,,,,,,,Greenwich - Eltham North
,,,,,,,,,,Greenwich - Eltham South
,,,,,,,,,,Greenwich - Eltham West
,,,,,,,,,,Greenwich - Glyndon
,,,,,,,,,,Greenwich - Greenwich West
,,,,,,,,,,Greenwich - Kidbrooke with Hornfair
,,,,,,,,,,Greenwich - Middle Park and Sutcliffe
,,,,,,,,,,Greenwich - Peninsula
,,,,,,,,,,Greenwich - Plumstead
,,,,,,,,,,Greenwich - Shooters Hill
,,,,,,,,,,Greenwich - Thamesmead Moorings
,,,,,,,,,,Greenwich - Woolwich Common
,,,,,,,,,,Greenwich - Woolwich Riverside
,,,,,,,,,,Hackney - Brownswood
,,,,,,,,,,Hackney - Cazenove
,,,,,,,,,,Hackney - Chatham
,,,,,,,,,,Hackney - Clissold
,,,,,,,,,,Hackney - Dalston
,,,,,,,,,,Hackney - De Beauvoir
,,,,,,,,,,Hackney - Hackney Central
,,,,,,,,,,Hackney - Hackney Downs
,,,,,,,,,,Hackney - Haggerston
,,,,,,,,,,Hackney - Hoxton
,,,,,,,,,,Hackney - King's Park
,,,,,,,,,,Hackney - Leabridge
,,,,,,,,,,Hackney - Lordship
,,,,,,,,,,Hackney - New River
,,,,,,,,,,Hackney - Queensbridge
,,,,,,,,,,Hackney - Springfield
,,,,,,,,,,Hackney - Stoke Newington Central
,,,,,,,,,,Hackney - Victoria
,,,,,,,,,,Hackney - Wick
,,,,,,,,,,Hammersmith and Fulham - Addison
,,,,,,,,,,Hammersmith and Fulham - Askew
,,,,,,,,,,Hammersmith and Fulham - Avonmore and Brook Green
,,,,,,,,,,Hammersmith and Fulham - College Park and Old Oak
,,,,,,,,,,Hammersmith and Fulham - Fulham Broadway
,,,,,,,,,,Hammersmith and Fulham - Fulham Reach
,,,,,,,,,,Hammersmith and Fulham - Hammersmith Broadway
,,,,,,,,,,Hammersmith and Fulham - Munster
,,,,,,,,,,Hammersmith and Fulham - North End
,,,,,,,,,,Hammersmith and Fulham - Palace Riverside
,,,,,,,,,,Hammersmith and Fulham - Parsons Green and Walham
,,,,,,,,,,Hammersmith and Fulham - Ravenscourt Park
,,,,,,,,,,Hammersmith and Fulham - Sands End
,,,,,,,,,,Hammersmith and Fulham - Shepherd's Bush Green
,,,,,,,,,,Hammersmith and Fulham - Town
,,,,,,,,,,Hammersmith and Fulham - Wormholt and White City
,,,,,,,,,,Haringey - Alexandra
,,,,,,,,,,Haringey - Bounds Green
,,,,,,,,,,Haringey - Bruce Grove
,,,,,,,,,,Haringey - Crouch End
,,,,,,,,,,Haringey - Fortis Green
,,,,,,,,,,Haringey - Harringay
,,,,,,,,,,Haringey - Highgate
,,,,,,,,,,Haringey - Hornsey
,,,,,,,,,,Haringey - Muswell Hill
,,,,,,,,,,Haringey - Noel Park
,,,,,,,,,,Haringey - Northumberland Park
,,,,,,,,,,Haringey - St. Ann's
,,,,,,,,,,Haringey - Seven Sisters
,,,,,,,,,,Haringey - Stroud Green
,,,,,,,,,,Haringey - Tottenham Green
,,,,,,,,,,Haringey - Tottenham Hale
,,,,,,,,,,Haringey - West Green
,,,,,,,,,,Haringey - White Hart Lane
,,,,,,,,,,Haringey - Woodside
,,,,,,,,,,Harrow - Belmont
,,,,,,,,,,Harrow - Canons
,,,,,,,,,,Harrow - Edgware
,,,,,,,,,,Harrow - Greenhill
,,,,,,,,,,Harrow - Harrow on the Hill
,,,,,,,,,,Harrow - Harrow Weald
,,,,,,,,,,Harrow - Hatch End
,,,,,,,,,,Harrow - Headstone North
,,,,,,,,,,Harrow - Headstone South
,,,,,,,,,,Harrow - Kenton East
,,,,,,,,,,Harrow - Kenton West
,,,,,,,,,,Harrow - Marlborough
,,,,,,,,,,Harrow - Pinner
,,,,,,,,,,Harrow - Pinner South
,,,,,,,,,,Harrow - Queensbury
,,,,,,,,,,Harrow - Rayners Lane
,,,,,,,,,,Harrow - Roxbourne
,,,,,,,,,,Harrow - Roxeth
,,,,,,,,,,Harrow - Stanmore Park
,,,,,,,,,,Harrow - Wealdstone
,,,,,,,,,,Harrow - West Harrow
,,,,,,,,,,Havering - Brooklands
,,,,,,,,,,Havering - Cranham
,,,,,,,,,,Havering - Elm Park
,,,,,,,,,,Havering - Emerson Park
,,,,,,,,,,Havering - Gooshays
,,,,,,,,,,Havering - Hacton
,,,,,,,,,,Havering - Harold Wood
,,,,,,,,,,Havering - Havering Park
,,,,,,,,,,Havering - Heaton
,,,,,,,,,,Havering - Hylands
,,,,,,,,,,Havering - Mawneys
,,,,,,,,,,Havering - Pettits
,,,,,,,,,,Havering - Rainham and Wennington
,,,,,,,,,,Havering - Romford Town
,,,,,,,,,,Havering - St. Andrew's
,,,,,,,,,,Havering - South Hornchurch
,,,,,,,,,,Havering - Squirrel's Heath
,,,,,,,,,,Havering - Upminster
,,,,,,,,,,Hillingdon - Barnhill
,,,,,,,,,,Hillingdon - Botwell
,,,,,,,,,,Hillingdon - Brunel
,,,,,,,,,,Hillingdon - Cavendish
,,,,,,,,,,Hillingdon - Charville
,,,,,,,,,,Hillingdon - Eastcote and East Ruislip
,,,,,,,,,,Hillingdon - Harefield
,,,,,,,,,,Hillingdon - Heathrow Villages
,,,,,,,,,,Hillingdon - Hillingdon East
,,,,,,,,,,Hillingdon - Ickenham
,,,,,,,,,,Hillingdon - Manor
,,,,,,,,,,Hillingdon - Northwood
,,,,,,,,,,Hillingdon - Northwood Hills
,,,,,,,,,,Hillingdon - Pinkwell
,,,,,,,,,,Hillingdon - South Ruislip
,,,,,,,,,,Hillingdon - Townfield
,,,,,,,,,,Hillingdon - Uxbridge North
,,,,,,,,,,Hillingdon - Uxbridge South
,,,,,,,,,,Hillingdon - West Drayton
,,,,,,,,,,Hillingdon - West Ruislip
,,,,,,,,,,Hillingdon - Yeading
,,,,,,,,,,Hillingdon - Yiewsley
,,,,,,,,,,Hounslow - Bedfont
,,,,,,,,,,Hounslow - Brentford
,,,,,,,,,,Hounslow - Chiswick Homefields
,,,,,,,,,,Hounslow - Chiswick Riverside
,,,,,,,,,,Hounslow - Cranford
,,,,,,,,,,Hounslow - Feltham North
,,,,,,,,,,Hounslow - Feltham West
,,,,,,,,,,Hounslow - Hanworth
,,,,,,,,,,Hounslow - Hanworth Park
,,,,,,,,,,Hounslow - Heston Central
,,,,,,,,,,Hounslow - Heston East
,,,,,,,,,,Hounslow - Heston West
,,,,,,,,,,Hounslow - Hounslow Central
,,,,,,,,,,Hounslow - Hounslow Heath
,,,,,,,,,,Hounslow - Hounslow South
,,,,,,,,,,Hounslow - Hounslow West
,,,,,,,,,,Hounslow - Isleworth
,,,,,,,,,,Hounslow - Osterley and Spring Grove
,,,,,,,,,,Hounslow - Syon
,,,,,,,,,,Hounslow - Turnham Green
,,,,,,,,,,Islington - Barnsbury
,,,,,,,,,,Islington - Bunhill
,,,,,,,,,,Islington - Caledonian
,,,,,,,,,,Islington - Canonbury
,,,,,,,,,,Islington - Clerkenwell
,,,,,,,,,,Islington - Finsbury Park
,,,,,,,,,,Islington - Highbury East
,,,,,,,,,,Islington - Highbury West
,,,,,,,,,,Islington - Hillrise
,,,,,,,,,,Islington - Holloway
,,,,,,,,,,Islington - Junction
,,,,,,,,,,Islington - Mildmay
,,,,,,,,,,Islington - St. George's
,,,,,,,,,,Islington - St. Mary's
,,,,,,,,,,Islington - St. Peter's
,,,,,,,,,,Islington - Tollington
,,,,,,,,,,Kensington and Chelsea - Abingdon
,,,,,,,,,,Kensington and Chelsea - Brompton
,,,,,,,,,,Kensington and Chelsea - Campden
,,,,,,,,,,Kensington and Chelsea - Colville
,,,,,,,,,,Kensington and Chelsea - Courtfield
,,,,,,,,,,Kensington and Chelsea - Cremorne
,,,,,,,,,,Kensington and Chelsea - Earl's Court
,,,,,,,,,,Kensington and Chelsea - Golborne
,,,,,,,,,,Kensington and Chelsea - Hans Town
,,,,,,,,,,Kensington and Chelsea - Holland
,,,,,,,,,,Kensington and Chelsea - Norland
,,,,,,,,,,Kensington and Chelsea - Notting Barns
,,,,,,,,,,Kensington and Chelsea - Pembridge
,,,,,,,,,,Kensington and Chelsea - Queen's Gate
,,,,,,,,,,Kensington and Chelsea - Redcliffe
,,,,,,,,,,Kensington and Chelsea - Royal Hospital
,,,,,,,,,,Kensington and Chelsea - St. Charles
,,,,,,,,,,Kensington and Chelsea - Stanley
,,,,,,,,,,Kingston upon Thames - Alexandra
,,,,,,,,,,Kingston upon Thames - Berrylands
,,,,,,,,,,Kingston upon Thames - Beverley
,,,,,,,,,,Kingston upon Thames - Canbury
,,,,,,,,,,Kingston upon Thames - Chessington North and Hook
,,,,,,,,,,Kingston upon Thames - Chessington South
,,,,,,,,,,Kingston upon Thames - Coombe Hill
,,,,,,,,,,Kingston upon Thames - Coombe Vale
,,,,,,,,,,Kingston upon Thames - Grove
,,,,,,,,,,Kingston upon Thames - Norbiton
,,,,,,,,,,Kingston upon Thames - Old Malden
,,,,,,,,,,Kingston upon Thames - St. James
,,,,,,,,,,Kingston upon Thames - St. Mark's
,,,,,,,,,,Kingston upon Thames - Surbiton Hill
,,,,,,,,,,Kingston upon Thames - Tolworth and Hook Rise
,,,,,,,,,,Kingston upon Thames - Tudor
,,,,,,,,,,Lambeth - Bishop's
,,,,,,,,,,Lambeth - Brixton Hill
,,,,,,,,,,Lambeth - Clapham Common
,,,,,,,,,,Lambeth - Clapham Town
,,,,,,,,,,Lambeth - Coldharbour
,,,,,,,,,,Lambeth - Ferndale
,,,,,,,,,,Lambeth - Gipsy Hill
,,,,,,,,,,Lambeth - Herne Hill
,,,,,,,,,,Lambeth - Knight's Hill
,,,,,,,,,,Lambeth - Larkhall
,,,,,,,,,,Lambeth - Oval
,,,,,,,,,,Lambeth - Prince's
,,,,,,,,,,Lambeth - St. Leonard's
,,,,,,,,,,Lambeth - Stockwell
,,,,,,,,,,Lambeth - Streatham Hill
,,,,,,,,,,Lambeth - Streatham South
,,,,,,,,,,Lambeth - Streatham Wells
,,,,,,,,,,Lambeth - Thornton
,,,,,,,,,,Lambeth - Thurlow Park
,,,,,,,,,,Lambeth - Tulse Hill
,,,,,,,,,,Lambeth - Vassall
,,,,,,,,,,Lewisham - Bellingham
,,,,,,,,,,Lewisham - Blackheath
,,,,,,,,,,Lewisham - Brockley
,,,,,,,,,,Lewisham - Catford South
,,,,,,,,,,Lewisham - Crofton Park
,,,,,,,,,,Lewisham - Downham
,,,,,,,,,,Lewisham - Evelyn
,,,,,,,,,,Lewisham - Forest Hill
,,,,,,,,,,Lewisham - Grove Park
,,,,,,,,,,Lewisham - Ladywell
,,,,,,,,,,Lewisham - Lee Green
,,,,,,,,,,Lewisham - Lewisham Central
,,,,,,,,,,Lewisham - New Cross
,,,,,,,,,,Lewisham - Perry Vale
,,,,,,,,,,Lewisham - Rushey Green
,,,,,,,,,,Lewisham - Sydenham
,,,,,,,,,,Lewisham - Telegraph Hill
,,,,,,,,,,Lewisham - Whitefoot
,,,,,,,,,,Merton - Abbey
,,,,,,,,,,Merton - Cannon Hill
,,,,,,,,,,Merton - Colliers Wood
,,,,,,,,,,Merton - Cricket Green
,,,,,,,,,,Merton - Dundonald
,,,,,,,,,,Merton - Figge's Marsh
,,,,,,,,,,Merton - Graveney
,,,,,,,,,,Merton - Hillside
,,,,,,,,,,Merton - Lavender Fields
,,,,,,,,,,Merton - Longthornton
,,,,,,,,,,Merton - Lower Morden
,,,,,,,,,,Merton - Merton Park
,,,,,,,,,,Merton - Pollards Hill
,,,,,,,,,,Merton - Ravensbury
,,,,,,,,,,Merton - Raynes Park
,,,,,,,,,,Merton - St. Helier
,,,,,,,,,,Merton - Trinity
,,,,,,,,,,Merton - Village
,,,,,,,,,,Merton - West Barnes
,,,,,,,,,,Merton - Wimbledon Park
,,,,,,,,,,Newham - Beckton
,,,,,,,,,,Newham - Boleyn
,,,,,,,,,,Newham - Canning Town North
,,,,,,,,,,Newham - Canning Town South
,,,,,,,,,,Newham - Custom House
,,,,,,,,,,Newham - East Ham Central
,,,,,,,,,,Newham - East Ham North
,,,,,,,,,,Newham - East Ham South
,,,,,,,,,,Newham - Forest Gate North
,,,,,,,,,,Newham - Forest Gate South
,,,,,,,,,,Newham - Green Street East
,,,,,,,,,,Newham - Green Street West
,,,,,,,,,,Newham - Little Ilford
,,,,,,,,,,Newham - Manor Park
,,,,,,,,,,Newham - Plaistow North
,,,,,,,,,,Newham - Plaistow South
,,,,,,,,,,Newham - Royal Docks
,,,,,,,,,,Newham - Stratford and New Town
,,,,,,,,,,Newham - Wall End
,,,,,,,,,,Newham - West Ham
,,,,,,,,,,Redbridge - Aldborough
,,,,,,,,,,Redbridge - Barkingside
,,,,,,,,,,Redbridge - Bridge
,,,,,,,,,,Redbridge - Chadwell
,,,,,,,,,,Redbridge - Church End
,,,,,,,,,,Redbridge - Clayhall
,,,,,,,,,,Redbridge - Clementswood
,,,,,,,,,,Redbridge - Cranbrook
,,,,,,,,,,Redbridge - Fairlop
,,,,,,,,,,Redbridge - Fullwell
,,,,,,,,,,Redbridge - Goodmayes
,,,,,,,,,,Redbridge - Hainault
,,,,,,,,,,Redbridge - Loxford
,,,,,,,,,,Redbridge - Mayfield
,,,,,,,,,,Redbridge - Monkhams
,,,,,,,,,,Redbridge - Newbury
,,,,,,,,,,Redbridge - Roding
,,,,,,,,,,Redbridge - Seven Kings
,,,,,,,,,,Redbridge - Snaresbrook
,,,,,,,,,,Redbridge - Valentines
,,,,,,,,,,Redbridge - Wanstead
,,,,,,,,,,Richmond upon Thames - Barnes
,,,,,,,,,,Richmond upon Thames - East Sheen
,,,,,,,,,,Richmond upon Thames - Fulwell and Hampton Hill
,,,,,,,,,,"Richmond upon Thames - Ham, Petersham & Richmond Riverside"
